route,purpose,field_count,has_address,has_name,has_date,uses_placeholder_as_label,migrated,commit_sha,tag
/document/invoice,請求書作成（インボイス制度対応）,15,true,true,true,true,false,,phase-4-target
/document/quotation,見積書作成,13,true,true,true,false,false,,phase-4-target
/document/delivery-slip,納品書作成,15,true,true,true,false,false,,phase-4-target
/document/receipt,領収書作成,12,true,true,true,true,false,,phase-4-target
/document/cover-letter,送付状作成,13,true,true,true,false,false,,phase-4-target
/document/fax-cover,FAX送付状作成,15,false,true,true,false,false,,phase-4-target
/document/business-card,名刺作成,10,true,true,false,false,false,,phase-4-target
/generator/envelope-print,封筒印刷（住所録・テンプレート管理）,50,true,true,true,false,false,,phase-4-target
/generator/nenmatsu-calc,年末調整計算,9,false,false,false,false,false,,phase-4-target
/tax/furusato-nozei-calculator,ふるさと納税控除額計算,6,false,false,false,false,false,,phase-4-target
/document/resume,履歴書作成,16,true,true,true,true,false,,phase-4-extension
/document/vertical-text,縦書き文書作成,16,false,true,true,false,false,,phase-4-extension
/document/business-email,ビジネスメール作成,3,false,false,false,false,false,,phase-4-extension
/generator/age-calc,年齢計算ツール,1,false,false,true,false,false,,phase-4-extension
/generator/char-count,文字数カウント,1,false,false,false,false,false,,phase-4-extension
/generator/character-count,文字数カウント（拡張）,1,false,false,true,false,false,,phase-4-extension
/generator/color-convert,カラーコード変換,6,false,false,true,false,false,,phase-4-extension
/generator/hanko,電子印鑑作成,2,false,true,true,false,false,,phase-4-extension
/generator/hash,ハッシュ生成,2,false,false,false,false,false,,phase-4-extension
/generator/json-format,JSON整形ツール,3,true,false,false,false,false,,phase-4-extension
/generator/lorem-ipsum,ダミーテキスト生成,3,false,false,false,false,false,,phase-4-extension
/generator/password,パスワード生成,7,false,true,false,false,false,,phase-4-extension
/generator/password-gen,パスワード生成（簡易）,3,false,false,false,false,false,,phase-4-extension
/generator/password-zip,ZIPパスワード生成,4,false,false,false,false,false,,phase-4-extension
/generator/qr-reader,QRコード読み取り,1,false,false,false,false,false,,phase-4-extension
/generator/random-picker,ランダム抽選,3,false,true,true,false,false,,phase-4-extension
/generator/regex-test,正規表現テスト,2,true,false,false,false,false,,phase-4-extension
/generator/salary-calc,給与計算,5,false,false,false,false,false,,phase-4-extension
/generator/t-number,インボイスTナンバー確認,1,false,false,true,false,false,,phase-4-extension
/generator/tax-calculator,税額計算,1,false,false,false,false,false,,phase-4-extension
/generator/text-case,テキストケース変換,2,false,false,false,false,false,,phase-4-extension
/generator/text-diff,テキスト差分比較,2,false,false,false,false,false,,phase-4-extension
/generator/unit-convert,単位変換,3,false,false,false,false,false,,phase-4-extension
/tax/consumption-tax,消費税計算,4,false,false,true,false,false,,phase-4-extension
/tax/gift-tax-calculator,贈与税計算,2,false,false,false,false,false,,phase-4-extension
/tax/income-tax-calculator,所得税計算,6,false,false,false,false,false,,phase-4-extension
/tax/inheritance-tax-calculator,相続税計算,4,false,false,false,false,false,,phase-4-extension
/finance/fx-calculator,FX計算ツール,30,false,false,true,false,false,,phase-4-extension
/finance/heikin-nenshu,平均年収検索,5,true,false,false,false,false,,phase-4-extension
/finance/heikin-nenshu/industry,業種別平均年収,2,true,false,false,false,false,,phase-4-extension
/finance/heikin-nenshu/ranking,年収ランキング,3,true,false,false,false,false,,phase-4-extension
/finance/ideco-nisa-comparison,iDeCo・NISA比較,9,false,false,false,false,false,,phase-4-extension
/finance/jinko-suikei,人口推計,1,true,false,false,false,false,,phase-4-extension
/finance/jinko-suikei/age-pyramid,年齢ピラミッド,2,false,false,false,false,false,,phase-4-extension
/finance/jutaku-loan,住宅ローン計算,26,false,false,false,false,false,,phase-4-extension
/finance/nisa-simulator,NISA運用シミュレーター,7,false,false,false,false,false,,phase-4-extension
/finance/retirement-simulator,老後資産シミュレーター,41,false,false,false,false,false,,phase-4-extension
